Year,Month,Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm)
1998,5,18,29.3,8.4,59.2,0
1998,6,19.6,31.6,6,83.6,0
1998,7,22.3,31.8,13.8,54.8,0
1998,8,22.7,32.8,12.3,32,0
1998,9,19.4,33.2,7.6,49,0
1998,10,12.2,21.5,3,22.8,0
1998,11,6.3,16.4,-1.3,38.6,0
1998,12,2.3,16.8,-16,37.6,6
1999,1,-4.4,10.9,-22.6,26.2,118.4
1999,2,-0.1,12.2,-15,27.2,5
1999,3,1.7,21.4,-13.9,4,25.8
1999,4,8.9,19.1,0.9,39.8,7
1999,5,16.4,30.3,6.3,47,0
1999,6,21.1,32,9.6,64.8,0
1999,7,24.7,35.2,13.5,35.4,0
1999,8,20.9,31.7,11.2,77.4,0
1999,9,19.1,30.4,5.2,100.6,0
1999,10,10.8,21.3,1,64.4,0
1999,11,6.8,22.5,-4,76,1.2
1999,12,1,13.4,-11,30.4,3.8
2000,1,-4,12.9,-20.9,16.2,20.6
2000,2,-0.8,13,-12.1,13.4,37.8
2000,3,5.4,21.3,-5.4,7.6,11.8
2000,4,7.5,21,-3.1,75.4,7.6
2000,5,15.2,30.4,5.6,135.2,0
2000,6,18.7,29.2,9.7,162.2,0
2000,7,20.9,28.2,12.2,42,0
2000,8,21.3,30.4,9.3,35.2,0
2000,9,16.9,30.4,2.6,65.2,0
2000,10,12,22.5,1.4,20,0
2000,11,5.1,17,-9.7,53,1.2
2000,12,-4.9,6.8,-16.6,11.4,76.2
